Provinsi,2005,2006
ACEH,356649,315277
SUMATERA UTARA,462767,460486
SUMATERA BARAT,228176,229469
RIAU,118955,124985
JAMBI,117482,119242
SUMATERA SELATAN,484207,523922
BENGKULU,84164,83885
LAMPUNG,313621,317413
KEP. BANGKA BELITUNG,4111,4048
KEP. RIAU,76,82
DKI JAKARTA,1866,1466
JAWA BARAT,925900,926782
JAWA TENGAH,964102,963401
DI YOGYAKARTA,57188,56218
JAWA TIMUR,1100574,1096479
BANTEN,194504,196538
BALI,80211,79252
NUSA TENGGARA BARAT,225708,232851
NUSA TENGGARA TIMUR,100194,112715
KALIMANTAN BARAT,292220,321838
KALIMANTAN TENGAH,159516,166703
KALIMANTAN SELATAN,435940,440720
KALIMANTAN TIMUR,88846,90786
KALIMANTAN UTARA,-,-
SULAWESI UTARA,57969,60262
SULAWESI TENGAH,113715,119463
SULAWESI SELATAN,558935,552940
SULAWESI TENGGARA,73646,62286
GORONTALO,25561,25668
SULAWESI BARAT,60531,48884
MALUKU,8542,8657
MALUKU UTARA,11867,11867
PAPUA BARAT,7051,7735
PAPUA,28970,28970
INDONESIA,7743764,7791290
