Provinsi,2013,2014,2015
ACEH,300808,294129,290337
SUMATERA UTARA,438346,433043,423465
SUMATERA BARAT,224182,225890,226377
RIAU,93338,87594,71910
JAMBI,113546,101195,94735
SUMATERA SELATAN,612424,616753,620632
BENGKULU,93382,88756,85131
LAMPUNG,360237,363055,377463
KEP. BANGKA BELITUNG,5358,7490,10654
KEP. RIAU,487,405,246
DKI JAKARTA,895,778,650
JAWA BARAT,925042,924307,912794
JAWA TENGAH,952980,966647,965262
DI YOGYAKARTA,55126,54417,53553
JAWA TIMUR,1102921,1101765,1091752
BANTEN,194716,200480,199492
BALI,78425,76655,75922
NUSA TENGGARA BARAT,253208,254298,264666
NUSA TENGGARA TIMUR,169063,172954,177238
KALIMANTAN BARAT,330883,323959,330724
KALIMANTAN TENGAH,225836,215545,196553
KALIMANTAN SELATAN,440429,431437,450152
KALIMANTAN TIMUR,63323,55485,57000
KALIMANTAN UTARA,21762,21775,21448
SULAWESI UTARA,56157,60475,55820
SULAWESI TENGAH,146721,141448,128323
SULAWESI SELATAN,602728,623139,628148
SULAWESI TENGGARA,95378,96826,103812
GORONTALO,32239,32116,32058
SULAWESI BARAT,61070,62312,61292
MALUKU,15042,13519,13394
MALUKU UTARA,10510,10516,11802
PAPUA BARAT,9587,9587,10126
PAPUA,42350,42843,44462
INDONESIA,8128499,8111593,8087393
