,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
2024,2025,107.0,0.0,USA,8200000.0,80000000.0,51459,113.0,60.0,0,71.0,967.0,455.0,304.0,1962,6.5,Good
1474,1475,91.0,0.0,USA,35000000.0,20275446.0,95274,178.0,248.0,20000,192.0,23000.0,1000.0,346.0,24669,6.5,Good
4314,4315,91.0,1.0,UK,,5824.0,57811,357.0,161.0,0,43.0,13000.0,698.0,418.0,14561,6.8,Good
3004,3005,134.0,0.0,Hungary,2500000000.0,195888.0,5603,45.0,73.0,607,45.0,9.0,2.0,0.0,11,7.1,Good
854,855,111.0,0.0,USA,30000000.0,70098138.0,735784,2105.0,354.0,13000,16000.0,926.0,890.0,640.0,3983,8.1,Excellent
3361,3362,89.0,2.0,USA,8000000.0,52287414.0,271794,584.0,99.0,24000,0.0,217.0,107.0,107.0,644,8.1,Excellent
1946,1947,7.0,0.0,UK,,,7968,12.0,12.0,834,,45.0,7.0,3.0,55,8.3,Excellent
5035,5036,84.0,0.0,USA,3250.0,,36,1.0,,4,2.0,45.0,44.0,2.0,93,7.8,Good
2539,2540,113.0,2.0,USA,16000000.0,127175354.0,288451,438.0,84.0,0,137.0,879.0,854.0,481.0,2985,7.3,Good
1394,1395,81.0,0.0,USA,37000000.0,30105968.0,8860,45.0,85.0,279,16.0,541.0,521.0,387.0,2268,4.5,Fair
518,519,87.0,0.0,Japan,75000000.0,323505540.0,24407,155.0,165.0,36000,11.0,1000.0,904.0,745.0,4782,6.8,Good
2982,2983,90.0,2.0,USA,12000000.0,4922166.0,23606,304.0,60.0,0,7.0,525.0,281.0,251.0,1445,2.1,Bad
2318,2319,135.0,0.0,USA,20000000.0,4001121.0,48346,230.0,231.0,0,162.0,23000.0,13000.0,228.0,36398,7.0,Good
507,508,135.0,0.0,USA,58000000.0,170708996.0,610568,1171.0,205.0,29000,2000.0,1000.0,592.0,535.0,2827,8.2,Excellent
3577,3578,108.0,0.0,USA,4000000.0,,39856,300.0,203.0,0,228.0,431.0,426.0,358.0,2020,7.3,Good
4960,4961,99.0,2.0,USA,100000.0,,509,10.0,23.0,157,9.0,116.0,24.0,10.0,170,5.8,Fair
124,125,102.0,0.0,USA,150000000.0,400736600.0,421658,904.0,406.0,58000,69.0,1000.0,523.0,490.0,2582,7.6,Good
1417,1418,90.0,0.0,USA,35000000.0,63826569.0,32416,138.0,83.0,0,0.0,19000.0,957.0,945.0,23504,6.3,Good
2282,2283,93.0,0.0,USA,20000000.0,11784000.0,6701,26.0,5.0,444,18.0,400.0,220.0,181.0,1151,4.3,Fair
779,780,111.0,0.0,USA,,35754555.0,47954,150.0,239.0,11000,39.0,16000.0,897.0,461.0,17871,6.8,Good
1068,1069,116.0,1.0,USA,46000000.0,58918501.0,40126,107.0,65.0,975,380.0,18000.0,13000.0,826.0,33233,6.6,Good
1730,1731,85.0,1.0,Russia,30000000.0,,393,7.0,5.0,161,0.0,114.0,35.0,21.0,229,4.1,Fair
881,882,93.0,0.0,USA,62000000.0,25857987.0,110614,532.0,178.0,0,45.0,9000.0,460.0,352.0,10185,5.5,Fair
3332,3333,125.0,0.0,USA,8500000.0,29200000.0,6142,52.0,32.0,1000,43.0,563.0,236.0,122.0,1097,6.9,Good
38,39,142.0,0.0,USA,200000000.0,202853933.0,321227,1067.0,495.0,41000,464.0,15000.0,10000.0,825.0,28631,6.7,Good
4461,4462,95.0,1.0,USA,1300000.0,695229.0,11369,65.0,43.0,872,12000.0,12000.0,680.0,636.0,14420,7.2,Good
3619,3620,90.0,2.0,USA,6000000.0,4542775.0,18313,73.0,76.0,985,138.0,373.0,308.0,263.0,1831,5.1,Fair
3408,3409,104.0,1.0,USA,8000000.0,16168741.0,99430,182.0,283.0,43000,109.0,480.0,12.0,7.0,517,7.4,Good
3372,3373,80.0,,USA,,,59,6.0,6.0,240,2.0,861.0,163.0,102.0,1279,7.8,Good
3901,3902,93.0,0.0,USA,4000000.0,13008928.0,73501,333.0,172.0,27000,0.0,355.0,151.0,133.0,837,7.3,Good
1258,1259,94.0,2.0,USA,40000000.0,38543473.0,84382,158.0,201.0,0,52.0,683.0,392.0,214.0,1488,5.1,Fair
1032,1033,96.0,2.0,Canada,18000000.0,8742261.0,19824,179.0,103.0,0,43.0,841.0,342.0,77.0,1385,3.7,Bad
2871,2872,121.0,4.0,USA,13000000.0,16574731.0,27675,181.0,63.0,0,15.0,4000.0,957.0,812.0,6910,5.8,Fair
1559,1560,107.0,0.0,Japan,32000000.0,18636537.0,69197,216.0,63.0,0,0.0,29000.0,165.0,159.0,29743,6.4,Good
2894,2895,100.0,0.0,Canada,12500000.0,,16281,96.0,62.0,0,218.0,581.0,201.0,91.0,931,7.4,Good
153,154,95.0,0.0,USA,145000000.0,143523463.0,64322,145.0,210.0,24000,5.0,24000.0,11000.0,967.0,36095,7.2,Good
1251,1252,103.0,2.0,USA,40000000.0,37752931.0,20201,180.0,101.0,0,643.0,24000.0,1000.0,586.0,26938,5.5,Fair
495,496,91.0,4.0,Germany,80000000.0,20950820.0,24183,160.0,101.0,665,287.0,3000.0,739.0,695.0,5593,5.7,Fair
1988,1989,111.0,2.0,USA,25000000.0,56692.0,177401,504.0,355.0,32000,214.0,10000.0,9000.0,3000.0,23566,7.3,Good
674,675,122.0,0.0,USA,65000000.0,52397389.0,132954,514.0,185.0,0,687.0,16000.0,1000.0,957.0,19764,5.9,Fair
818,819,87.0,1.0,USA,63000000.0,53715611.0,92106,171.0,84.0,2000,10.0,13000.0,1000.0,349.0,14574,5.7,Fair
3171,3172,101.0,2.0,USA,10000000.0,6619173.0,87203,221.0,265.0,25000,63.0,7000.0,353.0,172.0,7747,6.7,Good
3602,3603,104.0,4.0,USA,6000000.0,12793213.0,18286,73.0,34.0,0,80.0,8000.0,960.0,658.0,10430,6.2,Good
1630,1631,107.0,1.0,USA,27800000.0,55210049.0,43743,293.0,98.0,0,0.0,12000.0,664.0,643.0,14710,5.4,Fair
1344,1345,120.0,1.0,USA,38000000.0,58700247.0,95367,260.0,279.0,33000,508.0,21000.0,11000.0,1000.0,36062,6.9,Good
4751,4752,94.0,0.0,USA,135000000.0,177343675.0,70136,214.0,165.0,26000,12.0,17000.0,523.0,183.0,17883,6.7,Good
4125,4126,83.0,1.0,USA,3000000.0,,7358,39.0,58.0,0,8.0,798.0,634.0,617.0,4756,5.3,Fair
414,415,104.0,1.0,USA,85000000.0,47592825.0,82731,255.0,151.0,0,532.0,12000.0,3000.0,557.0,16930,6.7,Good
4845,4846,94.0,0.0,USA,,,47,4.0,1.0,4,0.0,156.0,102.0,87.0,544,4.5,Fair
771,772,134.0,1.0,USA,60000000.0,37479778.0,124222,259.0,306.0,23000,16000.0,13000.0,11000.0,204.0,24458,7.4,Good
127,128,120.0,0.0,Australia,150000000.0,153629485.0,552503,1588.0,739.0,191000,750.0,27000.0,9000.0,943.0,40025,8.1,Excellent
825,826,30.0,0.0,USA,,,80025,238.0,46.0,0,,962.0,722.0,479.0,2558,7.0,Good
1180,1181,107.0,0.0,USA,40000000.0,293501675.0,704766,2073.0,234.0,14000,0.0,13000.0,3000.0,766.0,17540,8.1,Excellent
1425,1426,109.0,2.0,USA,35000000.0,55802754.0,270228,194.0,238.0,41000,87.0,15000.0,3000.0,923.0,20956,6.6,Good
2447,2448,112.0,2.0,Germany,13000000.0,6615578.0,15352,82.0,184.0,0,97.0,577.0,416.0,231.0,1341,7.0,Good
4767,4768,122.0,0.0,USA,,,292,16.0,1.0,353,406.0,358.0,317.0,152.0,1038,2.2,Bad
4809,4810,123.0,1.0,USA,385907.0,,10718,88.0,69.0,691,204.0,436.0,22.0,9.0,481,8.0,Good
1188,1189,89.0,0.0,France,40000000.0,126546825.0,327367,918.0,433.0,83000,0.0,19000.0,11000.0,903.0,32325,6.4,Good
2722,2723,147.0,1.0,France,15000000.0,7219578.0,235992,1768.0,252.0,16000,0.0,6000.0,889.0,669.0,8484,8.0,Good
1302,1303,101.0,1.0,UK,42000000.0,13208023.0,17309,388.0,104.0,612,37.0,2000.0,886.0,595.0,4262,3.3,Bad
1498,1499,60.0,1.0,UK,,,70568,105.0,51.0,20000,,2000.0,729.0,256.0,3823,8.6,Excellent
2380,2381,121.0,2.0,USA,,5308553.0,5147,37.0,102.0,0,33.0,1000.0,919.0,505.0,3260,6.4,Good
1584,1585,113.0,0.0,USA,45000000.0,170684505.0,172080,1017.0,223.0,0,252.0,539.0,151.0,90.0,813,7.2,Good
3762,3763,150.0,1.0,USA,5000000.0,6157157.0,21416,198.0,59.0,0,3.0,859.0,448.0,448.0,3942,7.0,Good
3911,3912,120.0,2.0,USA,4000000.0,,12981,121.0,70.0,0,1000.0,862.0,403.0,268.0,1652,7.4,Good
2049,2050,90.0,0.0,USA,20000000.0,161487252.0,119450,300.0,108.0,0,153.0,11000.0,1000.0,427.0,13823,6.1,Good
974,975,129.0,1.0,USA,50000000.0,48265581.0,261069,506.0,157.0,25000,21000.0,495.0,294.0,283.0,1397,7.8,Good
1625,1626,98.0,1.0,USA,37000000.0,56044241.0,122187,339.0,119.0,0,56.0,3000.0,2000.0,533.0,6742,6.1,Good
599,600,103.0,0.0,USA,58000000.0,70117571.0,56741,515.0,160.0,1000,906.0,1000.0,906.0,748.0,6207,6.4,Good
237,238,92.0,0.0,USA,115000000.0,289907418.0,585659,593.0,250.0,0,0.0,12000.0,1000.0,773.0,15013,8.1,Excellent
1254,1255,95.0,1.0,USA,40000000.0,37101011.0,30394,103.0,147.0,0,98.0,405.0,358.0,78.0,1070,5.8,Fair
532,533,110.0,0.0,USA,75000000.0,97360069.0,36491,231.0,70.0,509,16.0,2000.0,710.0,692.0,5320,4.1,Fair
1537,1538,124.0,0.0,USA,32000000.0,34180954.0,189812,370.0,299.0,15000,335.0,14000.0,388.0,50.0,14504,7.6,Good
3183,3184,121.0,2.0,USA,9000000.0,21569041.0,8058,57.0,91.0,0,57.0,1000.0,837.0,664.0,3745,6.6,Good
3333,3334,96.0,9.0,USA,8500000.0,21564616.0,7098,41.0,52.0,0,68.0,3000.0,1000.0,1000.0,8097,5.0,Fair
910,911,141.0,0.0,USA,52000000.0,164435221.0,525801,667.0,194.0,15000,14000.0,29000.0,15000.0,3000.0,48153,8.0,Good
1608,1609,78.0,0.0,Germany,30000000.0,76501438.0,8146,49.0,41.0,181,0.0,971.0,844.0,786.0,4527,6.1,Good
4441,4442,112.0,2.0,Romania,5000000.0,,2841,13.0,18.0,0,34.0,129.0,98.0,71.0,588,7.1,Good
1588,1589,116.0,0.0,USA,25000000.0,121248145.0,260981,373.0,114.0,0,101.0,18000.0,946.0,780.0,20966,7.2,Good
1389,1390,130.0,0.0,USA,36000000.0,13052741.0,8531,57.0,31.0,591,0.0,2000.0,912.0,723.0,3968,6.7,Good
4430,4431,98.0,0.0,USA,1500000.0,105943.0,1351,11.0,14.0,212,102.0,563.0,485.0,360.0,2628,6.1,Good
1211,1212,178.0,0.0,USA,40000000.0,75305995.0,110394,433.0,209.0,0,138.0,904.0,876.0,748.0,5074,7.7,Good
2022,2023,106.0,8.0,USA,24000000.0,65182182.0,15310,38.0,52.0,3000,167.0,966.0,807.0,676.0,4830,5.7,Fair
2163,2164,95.0,2.0,USA,32000000.0,82301521.0,22679,149.0,75.0,773,32.0,826.0,642.0,563.0,3558,4.6,Fair
852,853,128.0,0.0,USA,55000000.0,83000000.0,36587,95.0,55.0,0,272.0,2000.0,812.0,383.0,3888,6.0,Fair
2910,2911,105.0,1.0,USA,10500000.0,26589953.0,165792,392.0,391.0,44000,20.0,22000.0,982.0,844.0,26233,6.7,Good
900,901,99.0,0.0,Germany,46000000.0,70327868.0,58416,301.0,160.0,0,309.0,23000.0,1000.0,577.0,26527,5.9,Fair
4378,4379,106.0,1.0,Mexico,,12589108.0,5526,58.0,75.0,0,36.0,953.0,399.0,345.0,2198,7.4,Good
1795,1796,133.0,2.0,USA,30000000.0,148734225.0,298590,559.0,251.0,0,0.0,11000.0,985.0,529.0,12874,7.0,Good
2557,2558,121.0,1.0,UK,8000000.0,23618786.0,352695,687.0,285.0,17000,1000.0,175.0,115.0,108.0,485,7.9,Good
2387,2388,107.0,2.0,China,,,625,4.0,23.0,124,15.0,82.0,39.0,27.0,151,5.7,Fair
74,75,113.0,1.0,USA,178000000.0,100189501.0,431620,741.0,585.0,77000,218.0,10000.0,854.0,509.0,12652,7.9,Good
4436,4437,101.0,1.0,USA,2500000.0,1163508.0,20376,166.0,234.0,15000,0.0,1000.0,725.0,721.0,5158,5.1,Fair
4488,4489,104.0,0.0,USA,80000000.0,79363785.0,139426,698.0,276.0,0,301.0,18000.0,4000.0,71.0,22194,5.5,Fair
1217,1218,99.0,0.0,USA,40000000.0,70163652.0,31968,82.0,65.0,663,14.0,17000.0,826.0,633.0,19334,4.6,Fair
1842,1843,175.0,14.0,USA,26000000.0,50800000.0,40277,210.0,56.0,0,0.0,385.0,232.0,14.0,669,7.4,Good
3280,3281,130.0,1.0,UK,9000000.0,63600000.0,82073,275.0,129.0,0,92.0,244.0,189.0,177.0,1164,7.0,Good
216,217,125.0,3.0,USA,125000000.0,107285004.0,189855,1018.0,183.0,0,541.0,920.0,890.0,409.0,2699,3.7,Bad
462,463,118.0,0.0,USA,80000000.0,94822707.0,227072,560.0,325.0,20000,117.0,18000.0,15000.0,10000.0,44797,6.9,Good
2222,2223,108.0,1.0,USA,20000000.0,34126138.0,666937,1514.0,273.0,52000,1000.0,14000.0,4000.0,1000.0,19364,8.3,Excellent
3033,3034,107.0,3.0,USA,11000000.0,49797148.0,49007,97.0,57.0,0,42.0,1000.0,854.0,808.0,3435,7.2,Good
5002,5003,79.0,0.0,USA,,24705.0,1516,10.0,61.0,377,2.0,962.0,72.0,20.0,1054,6.3,Good
3803,3804,87.0,1.0,USA,5000000.0,,10734,80.0,19.0,887,65.0,866.0,738.0,686.0,3724,6.1,Good
4934,4935,98.0,0.0,USA,,,53,1.0,2.0,197,0.0,52.0,36.0,21.0,130,7.1,Good
2233,2234,97.0,0.0,USA,20000000.0,23292105.0,39541,334.0,120.0,3000,212.0,960.0,917.0,637.0,3261,5.3,Fair
1334,1335,110.0,2.0,USA,39000000.0,5881504.0,5917,50.0,76.0,177,534.0,865.0,534.0,511.0,2972,5.3,Fair
3975,3976,115.0,1.0,Brazil,8000000.0,,2650,35.0,42.0,385,6.0,119.0,69.0,24.0,222,7.5,Good
3594,3595,109.0,0.0,USA,6000000.0,26236603.0,251349,547.0,391.0,10000,0.0,1000.0,245.0,120.0,1582,7.9,Good
2082,2083,97.0,0.0,USA,22000000.0,144833357.0,64742,111.0,64.0,0,11.0,901.0,775.0,595.0,2790,6.4,Good
245,246,91.0,0.0,UK,100000000.0,274084951.0,582917,1885.0,738.0,147000,0.0,39.0,23.0,13.0,87,7.8,Good
811,812,108.0,0.0,USA,58000000.0,363024263.0,479047,1058.0,579.0,117000,84.0,16000.0,805.0,361.0,18239,8.1,Excellent
1142,1143,88.0,0.0,USA,2600000.0,84300000.0,90360,147.0,105.0,0,3.0,1000.0,48.0,40.0,1178,7.5,Good
4168,4169,97.0,0.0,USA,1800000.0,32600000.0,29488,326.0,166.0,0,17.0,158.0,84.0,74.0,467,5.9,Fair
2893,2894,102.0,0.0,France,13000000.0,2035566.0,77305,162.0,242.0,11000,43.0,170.0,157.0,113.0,931,6.6,Good
2302,2303,42.0,1.0,USA,,,15612,29.0,26.0,0,,1000.0,440.0,376.0,2240,7.5,Good
2472,2473,89.0,1.0,Netherlands,17900000.0,,30215,95.0,59.0,0,130.0,444.0,312.0,183.0,1243,5.0,Fair
2000,2001,91.0,0.0,USA,,12495865.0,7100,35.0,73.0,0,80.0,473.0,31.0,31.0,539,6.8,Good
2805,2806,98.0,3.0,France,14000000.0,4291965.0,9334,59.0,108.0,447,176.0,543.0,113.0,15.0,678,6.7,Good
3745,3746,110.0,6.0,USA,5000000.0,14100000.0,14995,87.0,42.0,0,272.0,801.0,796.0,551.0,2943,7.2,Good
1729,1730,103.0,3.0,Switzerland,30000000.0,,12410,62.0,132.0,6000,61.0,963.0,903.0,520.0,2806,5.7,Fair
1986,1987,116.0,0.0,USA,25000000.0,7156933.0,14581,74.0,142.0,348,529.0,442.0,252.0,174.0,1134,6.7,Good
3894,3895,86.0,0.0,USA,4500000.0,,2806,11.0,46.0,0,2.0,707.0,619.0,555.0,2634,4.3,Fair
1129,1130,99.0,1.0,USA,40000000.0,15279680.0,48245,154.0,125.0,0,15.0,12000.0,68.0,61.0,12166,5.4,Fair
352,353,82.0,2.0,USA,90000000.0,245823397.0,385871,515.0,191.0,0,487.0,15000.0,1000.0,967.0,21275,7.9,Good
926,927,90.0,1.0,USA,60000000.0,267652016.0,467113,945.0,212.0,0,80.0,145.0,50.0,21.0,275,7.9,Good
1347,1348,146.0,0.0,USA,38000000.0,50668906.0,76016,265.0,65.0,0,278.0,18000.0,584.0,494.0,20516,7.6,Good
3383,3384,93.0,3.0,USA,5000000.0,14015786.0,37952,298.0,107.0,938,44.0,15000.0,11000.0,596.0,27646,6.5,Good
2357,2358,113.0,1.0,USA,19000000.0,58571513.0,30213,112.0,43.0,0,17.0,14000.0,599.0,551.0,15914,6.8,Good
130,131,96.0,0.0,USA,150000000.0,114053579.0,146766,178.0,225.0,0,59.0,17000.0,759.0,699.0,20007,6.9,Good
2807,2808,139.0,1.0,France,14000000.0,2474000.0,2427,27.0,20.0,127,133.0,423.0,15.0,5.0,446,5.7,Fair
1284,1285,108.0,1.0,USA,60000000.0,22433915.0,21319,166.0,104.0,416,105.0,22000.0,11000.0,616.0,34377,6.2,Good
3324,3325,90.0,2.0,UK,8800000.0,,9296,57.0,33.0,458,3.0,1000.0,900.0,327.0,2310,6.1,Good
783,784,101.0,2.0,USA,60000000.0,40076438.0,73368,248.0,198.0,0,50.0,22000.0,14000.0,1000.0,38809,6.0,Fair
4821,4822,96.0,1.0,USA,350000.0,,447785,888.0,177.0,40000,0.0,359.0,259.0,253.0,1433,8.9,Excellent
2980,2981,113.0,0.0,USA,12000000.0,5032496.0,20576,161.0,114.0,652,11000.0,537.0,255.0,99.0,943,6.3,Good
403,404,44.0,1.0,USA,,,159910,270.0,103.0,59000,,544.0,183.0,148.0,996,8.6,Excellent
5015,5016,90.0,2.0,USA,25000.0,,57,2.0,,33,0.0,313.0,25.0,9.0,366,4.8,Fair
1335,1336,125.0,1.0,UK,39000000.0,60000000.0,49934,224.0,95.0,0,44.0,593.0,542.0,420.0,2329,4.9,Fair
2696,2697,107.0,3.0,USA,15000000.0,15608545.0,53471,224.0,208.0,29000,561.0,746.0,561.0,353.0,2377,5.4,Fair
358,359,114.0,1.0,USA,90000000.0,58229120.0,236421,515.0,362.0,70000,0.0,3000.0,806.0,423.0,5095,7.3,Good
2542,2543,94.0,5.0,USA,15600000.0,68525609.0,132963,302.0,103.0,0,480.0,1000.0,490.0,486.0,3889,6.5,Good
4624,4625,96.0,2.0,UK,1000000.0,,6513,41.0,40.0,968,0.0,335.0,334.0,177.0,1226,5.6,Fair
880,881,114.0,1.0,UK,55000000.0,16264475.0,54787,216.0,202.0,0,159.0,13000.0,2000.0,877.0,16899,6.9,Good
1009,1010,139.0,1.0,USA,50000000.0,20389967.0,3077,47.0,79.0,10000,378.0,11000.0,552.0,303.0,12786,6.7,Good
320,321,95.0,1.0,USA,100000000.0,4411102.0,20295,164.0,66.0,416,31.0,3000.0,695.0,683.0,6161,3.8,Bad
317,318,114.0,1.0,USA,105000000.0,28772222.0,33953,163.0,163.0,37000,19.0,1000.0,897.0,848.0,3962,5.3,Fair
3062,3063,104.0,1.0,USA,11000000.0,13214255.0,96233,313.0,535.0,26000,1000.0,3000.0,275.0,272.0,4082,7.4,Good
4513,4514,100.0,1.0,USA,1200000.0,,71,2.0,7.0,242,0.0,498.0,350.0,312.0,1810,4.2,Fair
1938,1939,117.0,2.0,USA,27000000.0,24944213.0,63459,185.0,62.0,3000,101.0,13000.0,852.0,743.0,16937,6.9,Good
1187,1188,108.0,0.0,USA,40000000.0,118500000.0,340085,327.0,125.0,12000,0.0,1000.0,869.0,690.0,3660,7.8,Good
2990,2991,97.0,5.0,USA,12000000.0,3950294.0,56654,124.0,146.0,0,20.0,21000.0,569.0,442.0,22577,7.0,Good
1052,1053,115.0,0.0,France,48000000.0,89253340.0,133436,323.0,222.0,38000,118.0,14000.0,794.0,482.0,16967,6.0,Fair
3282,3283,110.0,9.0,Italy,,,8667,29.0,81.0,0,798.0,580.0,26.0,16.0,662,7.3,Good
1621,1622,99.0,2.0,USA,30000000.0,60269340.0,34079,97.0,145.0,0,5.0,2000.0,1000.0,966.0,6930,6.0,Fair
1067,1068,81.0,1.0,USA,47000000.0,10539414.0,45729,176.0,178.0,0,39.0,13000.0,541.0,364.0,14619,4.7,Fair
3672,3673,105.0,0.0,USA,5500000.0,,36381,169.0,72.0,0,16000.0,16000.0,742.0,258.0,17599,7.6,Good
1027,1028,109.0,2.0,UK,55000000.0,8355815.0,34730,341.0,105.0,0,0.0,49000.0,811.0,809.0,52885,6.4,Good
2185,2186,89.0,0.0,USA,20000000.0,46363118.0,25960,389.0,140.0,1000,19.0,526.0,392.0,349.0,1383,4.1,Fair
2928,2929,81.0,0.0,USA,12000000.0,63071133.0,42892,154.0,63.0,0,406.0,13000.0,2000.0,616.0,17035,6.8,Good
3939,3940,102.0,0.0,USA,1300000.0,354704.0,2705,38.0,68.0,314,212.0,10000.0,633.0,195.0,11083,5.9,Fair
1313,1314,107.0,0.0,UK,26000000.0,3675072.0,190132,801.0,308.0,15000,0.0,11000.0,372.0,167.0,11623,7.3,Good
2664,2665,103.0,2.0,USA,15000000.0,26161406.0,13874,52.0,81.0,0,20.0,512.0,316.0,125.0,1002,6.7,Good
4145,4146,80.0,1.0,USA,3000000.0,,2425,31.0,28.0,968,81.0,640.0,277.0,214.0,1517,4.9,Fair
3859,3860,120.0,2.0,France,,706622.0,1213,17.0,50.0,0,0.0,24.0,12.0,9.0,53,6.4,Good
2541,2542,129.0,0.0,USA,16000000.0,54000000.0,26310,154.0,79.0,0,0.0,844.0,617.0,359.0,2330,7.8,Good
4028,4029,135.0,0.0,Brazil,3300000.0,7563397.0,533200,749.0,214.0,28000,353.0,1000.0,69.0,40.0,1211,8.7,Excellent
4573,4574,92.0,0.0,USA,1000000.0,582024.0,30396,168.0,59.0,0,406.0,406.0,203.0,194.0,904,6.2,Good
3253,3254,84.0,5.0,USA,10000000.0,,553,3.0,4.0,119,5.0,670.0,608.0,482.0,2739,5.2,Fair
2662,2663,101.0,0.0,USA,15000000.0,24881000.0,57140,195.0,93.0,6000,26.0,838.0,328.0,266.0,1812,6.2,Good
929,930,139.0,0.0,USA,50000000.0,153620822.0,189923,318.0,109.0,0,488.0,10000.0,743.0,597.0,12182,7.3,Good
4476,4477,96.0,0.0,USA,1250000.0,,7528,88.0,77.0,0,4.0,796.0,697.0,132.0,1866,5.5,Fair
